Pennsylvania,21,52,45,1,23-Jul,,21,,,,,,Zogby
Rhode Island,4,49,25,5,14-Jun,4,,,,,,,Brown Univ.
South Carolina,8,44,51,,12-Jul,,,,,,8,,Survey USA
South Dakota,3,35,51,4,21-May,,,,,,,3,Zogby
Tennessee,11,49,47,1,23-Jul,,,11,,,,,Zogby
Texas,34,37,55,4,30-Jun,,,,,,,34,Rasmussen
Utah,5,22,67,3,13-May,,,,,,,5,Dan Jones
Vermont,3,51,36,4,5-May,3,,,,,,,Research 2000
Virginia,13,45,50,,8-Jul,,,,,,13,,Survey USA
Washington,11,52,44,2,23-Jul,,11,,,,,,Zogby
West Virginia,5,47,44,3,28-Jul,,,5,,,,,American Res. Group
Wisconsin,10,50,46,1,23-Jul,,,10,,,,,Zogby
Wyoming,3,28,68,2,(none),,,,,,,3,2000 Election
Alaska,3,33,56,5,30-Jun,,,,,,,3,Dittman Research
Arizona,10,42,41,,18-Jul,,,10,,,,,Arizona State Univ.
Arkansas,6,46,48,1,30-Jul,,,,,6,,,Zogby
California,55,49,38,5,25-Jul,55,,,,,,,Survey USA
Colorado,9,43,48,3,18-Jun,,,,,,9,,Mason-Dixon
Connecticut,7,50,32,9,28-Jun,7,,,,,,,Quinnipiac Univ.
Delaware,3,55,42,3,(none),3,,,,,,,2000 Election
D.C.,3,86,9,5,(none),3,,,,,,,2000 Election
Florida,27,50,47,2,30-Jul,,,27,,,,,Zogby
Georgia,15,38,51,1,11-Jul,,,,,,,15,Strategic Vision
Hawaii,4,56,37,6,(none),4,,,,,,,2000 Election
Idaho,4,25,55,6,14-Jun,,,,,,,4,Greg Smith
Illinois,21,53,37,1,30-Jun,21,,,,,,,Rasmussen
Indiana,11,27,46,,12-Jul,,,,,,,11,Market Research Inf.
Iowa,7,50,46,1,30-Jul,,,7,,,,,Zogby
Kansas,6,36,56,,30-Jun,,,,,,,6,Survey USA
Kentucky,8,42,52,,26-Jul,,,,,,,8,Survey USA
Louisiana,9,36,52,,20-Jul,,,,,,,9,Market Research
Maine,4,46,45,5,30-Jun,,,4,,,,,Rasmussen
Maryland,10,53,39,,30-Jun,10,,,,,,,Rasmussen
Massachusetts,12,56,30,3,28-Jul,12,,,,,,,Center for Public Opin.
Michigan,17,52,45,1,30-Jul,,17,,,,,,Zogby
Minnesota,10,52,44,1,30-Jul,,10,,,,,,Zogby
Mississippi,6,30,61,1,21-Apr,,,,,,,6,MS State Univ.
Missouri,11,49,48,1,30-Jul,,,11,,,,,Zogby
Montana,3,33,53,6,26-May,,,,,,,3,Mason-Dixon
Nebraska,5,33,62,4,(none),,,,,,,5,2000 Election
Nevada,5,45,46,4,30-Jul,,,,,5,,,Zogby
New Hampshire,4,51,42,2,30-Jul,,4,,,,,,Zogby
New Jersey,15,50,40,2,28-Jul,15,,,,,,,Research 2000
New Mexico,5,49,48,1,30-Jul,,,5,,,,,Zogby
New York,31,51,29,,15-Jul,31,,,,,,,Siena Coll. Res. Inst.
North Carolina,15,44,51,,26-Jul,,,,,,15,,Survey USA
North Dakota,3,33,61,3,(none),,,,,,,3,2000 Election
Ohio,20,46,51,1,30-Jul,,,,,,20,,Zogby
Oklahoma,7,35,59,,12-Jul,,,,,,,7,Consumer Logic
Oregon,7,50,46,2,30-Jul,,,7,,,,,Zogby
Pennsylvania,21,53,45,1,30-Jul,,21,,,,,,Zogby
Rhode Island,4,49,25,5,14-Jun,4,,,,,,,Brown Univ.
South Carolina,8,44,51,,12-Jul,,,,,,8,,Survey USA
South Dakota,3,35,51,4,21-May,,,,,,,3,Zogby
Tennessee,11,49,48,1,30-Jul,,,11,,,,,Zogby
Texas,34,37,55,4,30-Jun,,,,,,,34,Rasmussen
Utah,5,22,67,3,13-May,,,,,,,5,Dan Jones
Vermont,3,51,36,4,5-May,3,,,,,,,Research 2000
Virginia,13,45,50,,8-Jul,,,,,,13,,Survey USA
Washington,11,53,45,1,30-Jul,,11,,,,,,Zogby
West Virginia,5,48,44,2,30-Jul,,,5,,,,,Zogby
Wisconsin,10,50,48,2,30-Jul,,,10,,,,,Zogby
Wyoming,3,28,68,2,(none),,,,,,,3,2000 Election
Alaska,3,33,56,5,30-Jun,,,,,,,3,Dittman Research
Arizona,10,45,48,,1-Aug,,,,,10,,,Market Solutions
Arkansas,6,46,48,1,30-Jul,,,,,6,,,Zogby
California,55,49,38,5,25-Jul,55,,,,,,,Survey USA
Colorado,9,43,48,3,18-Jun,,,,,,9,,Mason-Dixon
Connecticut,7,50,32,9,28-Jun,7,,,,,,,Quinnipiac Univ.
Delaware,3,55,42,3,(none),3,,,,,,,2000 Election
D.C.,3,86,9,5,(none),3,,,,,,,2000 Election
Florida,27,50,47,2,30-Jul,,,27,,,,,Zogby
Georgia,15,38,51,1,11-Jul,,,,,,,15,Strategic Vision
Hawaii,4,56,37,6,(none),4,,,,,,,2000 Election
Idaho,4,25,55,6,14-Jun,,,,,,,4,Greg Smith
Illinois,21,53,37,1,30-Jun,21,,,,,,,Rasmussen
